A	O
cloudy	O
day	O
:	O
do	O
you	O
know	O
what	O
that	O
is	O
in	O
a	O
town	O
of	O
iron-works	O
?	O

The	O
sky	O
sank	O
down	O
before	O
dawn	O
,	O
muddy	O
,	O
flat	O
,	O
immovable	O
.	O

The	O
air	O
is	O
thick	O
,	O
clammy	O
with	O
the	O
breath	O
of	O
crowded	O
human	O
beings	O
.	O

It	O
stifles	EVENT
me	O
.	O

I	O
open	EVENT
the	O
window	O
,	O
and	O
,	O
looking	EVENT
out	O
,	O
can	O
scarcely	O
see	EVENT
through	O
the	O
rain	EVENT
the	O
grocer	O
's	O
shop	O
opposite	O
,	O
where	O
a	O
crowd	O
of	O
drunken	O
Irishmen	O
are	O
puffing	EVENT
Lynchburg	O
tobacco	O
in	O
their	O
pipes	O
.	O

I	O
can	O
detect	EVENT
the	O
scent	EVENT
through	O
all	O
the	O
foul	O
smells	EVENT
ranging	O
loose	O
in	O
the	O
air	O
.	O

The	O
idiosyncrasy	O
of	O
this	O
town	O
is	O
smoke	O
.	O

It	O
rolls	O
sullenly	O
in	O
slow	O
folds	O
from	O
the	O
great	O
chimneys	O
of	O
the	O
iron-foundries	O
,	O
and	O
settles	O
down	O
in	O
black	O
,	O
slimy	O
pools	O
on	O
the	O
muddy	O
streets	O
.	O

Smoke	O
on	O
the	O
wharves	O
,	O
smoke	O
on	O
the	O
dingy	O
boats	O
,	O
on	O
the	O
yellow	O
river	O
,	O
--	O
clinging	O
in	O
a	O
coating	O
of	O
greasy	O
soot	O
to	O
the	O
house-front	O
,	O
the	O
two	O
faded	O
poplars	O
,	O
the	O
faces	O
of	O
the	O
passers-by	O
.	O

The	O
long	O
train	O
of	O
mules	O
,	O
dragging	EVENT
masses	O
of	O
pig-iron	O
through	O
the	O
narrow	O
street	O
,	O
have	O
a	O
foul	O
vapor	EVENT
hanging	O
to	O
their	O
reeking	O
sides	O
.	O

Here	O
,	O
inside	O
,	O
is	O
a	O
little	O
broken	O
