BOOK	O
ONE	O
CHAPTER	O
I	O
ANTHONY	O
PATCH	O
In	O
1913	O
,	O
when	O
Anthony	O
Patch	O
was	O
twenty-five	O
,	O
two	O
years	O
were	O
already	O
gone	O
since	O
irony	O
,	O
the	O
Holy	O
Ghost	O
of	O
this	O
later	O
day	O
,	O
had	O
,	O
theoretically	O
at	O
least	O
,	O
descended	O
upon	O
him	O
.	O

Irony	O
was	O
the	O
final	O
polish	O
of	O
the	O
shoe	O
,	O
the	O
ultimate	O
dab	O
of	O
the	O
clothes-brush	O
,	O
a	O
sort	O
of	O
intellectual	O
"	O
There	O
!	O
"	O

--	O
yet	O
at	O
the	O
brink	O
of	O
this	O
story	O
he	O
has	O
as	O
yet	O
gone	O
no	O
further	O
than	O
the	O
conscious	O
stage	O
.	O

As	O
you	O
first	O
see	O
him	O
he	O
wonders	O
frequently	O
whether	O
he	O
is	O
not	O
without	O
honor	O
and	O
slightly	O
mad	O
,	O
a	O
shameful	O
and	O
obscene	O
thinness	O
glistening	O
on	O
the	O
surface	O
of	O
the	O
world	O
like	O
oil	O
on	O
a	O
clean	O
pond	O
,	O
these	O
occasions	O
being	O
varied	O
,	O
of	O
course	O
,	O
with	O
those	O
in	O
which	O
he	O
thinks	O
himself	O
rather	O
an	O
exceptional	O
young	O
man	O
,	O
thoroughly	O
sophisticated	O
,	O
well	O
adjusted	O
to	O
his	O
environment	O
,	O
and	O
somewhat	O
more	O
significant	O
than	O
any	O
one	O
else	O
he	O
knows	O
.	O

This	O
was	O
his	O
healthy	O
state	O
and	O
it	O
made	O
him	O
cheerful	O
,	O
pleasant	O
,	O
and	O
very	O
attractive	O
to	O
intelligent	O
men	O
and	O
to	O
all	O
women	O
.	O

In	O
this	O
state	O
he	O
considered	O
that	O
he	O
would	O
one	O
day	O
accomplish	O
some	O
quiet	O
subtle	O
thing	O
that	O
the	O
elect	O
would	O
deem	O
worthy	O
and	O
,	O
passing	O
on	O
,	O
would	O
join	O
the	O
dimmer	O
stars	O
in	O
a	O
nebulous	O
,	O
indeterminate	O
heaven	O
half-way	O
between	O
death	O
and	O
immortality	O
.	O

Until	O
the	O
time	O
came	O
for	O
this	O
effort	O
he	O
would	O
be	O
Anthony	O
Patch	O
--	O
not	O
a	O
portrait	O
of	O
a	O
man	O
but	O
a	O
distinct	O
and	O
dynamic	O
personality	O
,	O
opinionated	O
,	O
contemptuous	O
,	O
functioning	O
from	O
within	O
outward	O
--	O
a	O
man	O
who	O
was	O
aware	O
that	O
there	O
could	O
be	O
no	O
honor	O
and	O
yet	O
had	O
honor	O
,	O
who	O
knew	O
the	O
sophistry	O
of	O
courage	O
and	O
yet	O
was	O
brave	O
.	O

A	O
WORTHY	O
MAN	O
AND	O
HIS	O
GIFTED	O
SON	O
Anthony	O
drew	O
as	O
much	O
consciousness	O
of	O
social	O
security	O
from	O
being	O
the	O
grandson	O
of	O
Adam	O
J.	O
Patch	O
as	O
he	O
would	O
have	O
had	O
from	O
tracing	O
his	O
line	O
over	O
the	O
sea	O
to	O
the	O
crusaders	O
.	O

This	O
is	O
inevitable	O
;	O
Virginians	O
and	O
Bostonians	O
to	O
the	O
contrary	O
notwithstanding	O
,	O
an	O
aristocracy	O
founded	O
sheerly	O
on	O
money	O
postulates	O
wealth	O
in	O
the	O
particular	O
.	O

Now	O
Adam	O
J.	O
Patch	O
,	O
more	O
familiarly	O
known	O
as	O
"	O
Cross	O
Patch	O
,	O
"	O
left	EVENT
his	O
father	O
's	O
farm	O
in	O
Tarrytown	O
early	O
in	O
sixty-one	O
to	O
join	O
a	O
New	O
York	O
cavalry	O
regiment	O
.	O

He	O
came	EVENT
home	O
from	O
the	O
war	O
a	O
major	O
,	O
charged	EVENT
into	O
Wall	O
Street	O
,	O
and	O
amid	O
much	O
fuss	O
,	O
fume	O
