Chapter	O
I	O
Out	O
to	O
Sea	O
I	O
had	O
this	O
story	O
from	O
one	O
who	O
had	O
no	O
business	O
to	O
tell	O
it	O
to	O
me	O
,	O
or	O
to	O
any	O
other	O
.	O

I	O
may	O
credit	O
the	O
seductive	O
influence	O
of	O
an	O
old	O
vintage	O
upon	O
the	O
narrator	O
for	O
the	O
beginning	O
of	O
it	O
,	O
and	O
my	O
own	O
skeptical	O
incredulity	O
during	O
the	O
days	O
that	O
followed	O
for	O
the	O
balance	O
of	O
the	O
strange	O
tale	O
.	O

When	O
my	O
convivial	O
host	O
discovered	EVENT
that	O
he	O
had	O
told	EVENT
me	O
so	O
much	O
,	O
and	O
that	O
I	O
was	O
prone	O
to	O
doubtfulness	O
,	O
his	O
foolish	O
pride	O
assumed	O
the	O
task	EVENT
the	O
old	O
vintage	O
had	O
commenced	EVENT
,	O
and	O
so	O
he	O
unearthed	EVENT
written	O
evidence	O
in	O
the	O
form	O
of	O
musty	O
manuscript	O
,	O
and	O
dry	O
official	O
records	O
of	O
the	O
British	O
Colonial	O
Office	O
to	O
support	O
many	O
of	O
the	O
salient	O
features	O
of	O
his	O
remarkable	O
narrative	O
.	O

I	O
do	O
not	O
say	O
the	O
story	O
is	O
true	O
,	O
for	O
I	O
did	O
not	O
witness	O
the	O
happenings	O
which	O
it	O
portrays	O
,	O
but	O
the	O
fact	O
that	O
in	O
the	O
telling	O
of	O
it	O
to	O
you	O
I	O
have	O
taken	O
fictitious	O
names	O
for	O
the	O
principal	O
characters	O
quite	O
sufficiently	O
evidences	O
the	O
sincerity	O
of	O
my	O
own	O
belief	O
that	O
it	O
MAY	O
be	O
true	O
.	O

The	O
yellow	O
,	O
mildewed	O
pages	O
of	O
the	O
diary	O
of	O
a	O
man	O
long	O
dead	O
,	O
and	O
the	O
records	O
of	O
the	O
Colonial	O
Office	O
dovetail	O
perfectly	O
with	O
the	O
narrative	O
of	O
my	O
convivial	O
host	O
,	O
and	O
so	O
I	O
give	EVENT
you	O
the	O
story	O
as	O
I	O
painstakingly	O
pieced	O
it	O
out	O
from	O
these	O
several	O
various	O
agencies	O
.	O

If	O
you	O
do	O
not	O
find	O
it	O
credible	O
you	O
will	O
at	O
least	O
be	O
as	O
one	O
with	O
me	O
in	O
acknowledging	O
that	O
it	O
is	O
unique	O
,	O
remarkable	O
,	O
and	O
interesting	O
.	O

From	O
the	O
records	O
of	O
the	O
Colonial	O
Office	O
and	O
from	O
the	O
dead	O
man	O
's	O
diary	O
we	O
learn	O
that	O
a	O
certain	O
young	O
English	O
nobleman	O
,	O
whom	O
we	O
shall	O
call	O
John	O
Clayton	O
,	O
Lord	O
Greystoke	O
,	O
was	O
commissioned	EVENT
to	O
make	O
a	O
peculiarly	O
delicate	O
investigation	O
of	O
conditions	O
in	O
a	O
British	O
West	O
Coast	O
African	O
Colony	O
from	O
whose	O
simple	O
native	O
inhabitants	O
another	O
European	O
power	O
was	O
known	O
to	O
be	O
recruiting	O
soldiers	O
for	O
its	O
native	O
army	O
,	O
which	O
it	O
used	O
solely	O
for	O
the	O
forcible	O
collection	O
of	O
rubber	O
and	O
ivory	O
from	O
the	O
savage	O
tribes	O
along	O
the	O
Congo	O
and	O
the	O
Aruwimi	O
.	O

The	O
natives	O
of	O
the	O
British	O
Colony	O
complained	O
that	O
many	O
of	O
their	O
young	O
men	O
were	O
enticed	O
away	O
through	O
the	O
medium	O
of	O
fair	O
and	O
glowing	O
promises	O
,	O
but	O
that	O
few	O
if	O
any	O
ever	O
returned	O
to	O
their	O
families	O
.	O

The	O
Englishmen	O
in	O
Africa	O
went	O
