Letter	O	O	O	O	
1	O	O	O	O	
St.	B-GPE	O	O	O	
Petersburgh	I-GPE	O	O	O	
,	O	O	O	O	
Dec.	O	O	O	O	
11th	O	O	O	O	
,	O	O	O	O	
17	O	O	O	O	
--	O	O	O	O	
TO	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	
Saville	O	I-PER	O	O	
,	O	O	O	O	
England	B-GPE	O	O	O	
You	O	O	O	O	
will	O	O	O	O	
rejoice	O	O	O	O	
to	O	O	O	O	
hear	O	O	O	O	
that	O	O	O	O	
no	O	O	O	O	
disaster	O	O	O	O	
has	O	O	O	O	
accompanied	O	O	O	O	
the	O	O	O	O	
commencement	O	O	O	O	
of	O	O	O	O	
an	O	O	O	O	
enterprise	O	O	O	O	
which	O	O	O	O	
you	O	O	O	O	
have	O	O	O	O	
regarded	O	O	O	O	
with	O	O	O	O	
such	O	O	O	O	
evil	O	O	O	O	
forebodings	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
arrived	O	O	O	O	
here	B-GPE	O	O	O	
yesterday	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
my	O	O	O	O	
first	O	O	O	O	
task	O	O	O	O	
is	O	O	O	O	
to	O	O	O	O	
assure	O	O	O	O	
my	B-PER	O	O	O	
dear	I-PER	O	O	O	
sister	I-PER	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
welfare	O	O	O	O	
and	O	O	O	O	
increasing	O	O	O	O	
confidence	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
success	O	O	O	O	
of	O	O	O	O	
my	O	O	O	O	
undertaking	O	O	O	O	
.	O	O	O	O	

I	O	O	O	O	
am	O	O	O	O	
already	O	O	O	O	
far	O	B-LOC	O	O	
north	O	I-LOC	O	O	
of	O	I-LOC	O	O	
London	B-GPE	I-LOC	O	O	
,	O	O	O	O	
and	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
walk	O	O	O	O	
in	O	O	O	O	
the	O	B-FAC	O	O	
streets	O	I-FAC	O	O	
of	O	I-FAC	O	O	
Petersburgh	B-GPE	I-FAC	O	O	
,	O	O	O	O	
I	O	O	O	O	
feel	O	O	O	O	
a	O	O	O	O	
cold	O	O	O	O	
northern	O	O	O	O	
breeze	O	O	O	O	
play	O	O	O	O	
upon	O	O	O	O	
my	O	O	O	O	
cheeks	O	O	O	O	
,	O	O	O	O	
which	O	O	O	O	
braces	O	O	O	O	
my	O	O	O	O	
nerves	O	O	O	O	
and	O	O	O	O	
fills	O	O	O	O	
me	O	O	O	O	
with	O	O	O	O	
delight	O	O	O	O	
.	O	O	O	O	

Do	O	O	O	O	
you	O	O	O	O	
understand	O	O	O	O	
this	O	O	O	O	
feeling	O	O	O	O	
?	O	O	O	O	

This	O	O	O	O	
breeze	O	O	O	O	
,	O	O	O	O	
which	O	O	O	O	
has	O	O	O	O	
travelled	O	O	O	O	
from	O	O	O	O	
the	B-LOC	O	O	O	
regions	I-LOC	O	O	O	
towards	I-LOC	O	O	O	
which	I-LOC	O	O	O	
I	I-LOC	O	O	O	
am	I-LOC	O	O	O	
advancing	I-LOC	O	O	O	
,	O	O	O	O	
gives	O	O	O	O	
me	O	O	O	O	
a	O	O	O	O	
foretaste	O	O	O	O	
of	O	O	O	O	
those	B-LOC	O	O	O	
icy	I-LOC	O	O	O	
climes	I-LOC	O	O	O	
.	O	O	O	O	

Inspirited	O	O	O	O	
by	O	O	O	O	
this	O	O	O	O	
