PART	O	O	O	O	
I.	O	O	O	O	
FRIENDS	B-PER	O	O	O	
OF	I-PER	O	O	O	
CHILDHOOD	I-PER	O	O	O	
I	O	O	O	O	
Dr.	B-PER	B-PER	O	O	
Howard	O	I-PER	O	O	
Archie	O	I-PER	O	O	
had	O	O	O	O	
just	O	O	O	O	
come	O	O	O	O	
up	O	O	O	O	
from	O	O	O	O	
a	O	O	O	O	
game	O	O	O	O	
of	O	O	O	O	
pool	O	O	O	O	
with	O	O	O	O	
the	B-PER	O	O	O	
Jewish	I-PER	O	O	O	
clothier	I-PER	O	O	O	
and	O	O	O	O	
two	O	B-PER	O	O	
traveling	O	I-PER	O	O	
men	O	I-PER	O	O	
who	O	I-PER	O	O	
happened	O	I-PER	O	O	
to	O	I-PER	O	O	
be	O	I-PER	O	O	
staying	O	I-PER	O	O	
overnight	O	I-PER	O	O	
in	O	I-PER	O	O	
Moonstone	B-GPE	I-PER	O	O	
.	O	O	O	O	

His	B-FAC	O	O	O	
offices	I-FAC	O	O	O	
were	O	O	O	O	
in	O	O	O	O	
the	B-PER	O	O	O	
Duke	I-PER	O	O	O	
Block	I-PER	O	O	O	
,	O	O	O	O	
over	O	O	O	O	
the	B-FAC	O	O	O	
drug	I-FAC	O	O	O	
store	I-FAC	O	O	O	
.	O	O	O	O	

Larry	B-PER	O	O	O	
,	O	O	O	O	
the	B-PER	O	O	O	
doctor	I-PER	O	O	O	
's	I-PER	O	O	O	
man	I-PER	O	O	O	
,	O	O	O	O	
had	O	O	O	O	
lit	O	O	O	O	
the	O	O	O	O	
overhead	O	O	O	O	
light	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
waiting-room	I-FAC	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
double	O	O	O	O	
student	O	O	O	O	
's	O	O	O	O	
lamp	O	O	O	O	
on	O	O	O	O	
the	O	O	O	O	
desk	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
study	I-FAC	O	O	O	
.	O	O	O	O	

The	O	O	O	O	
isinglass	O	O	O	O	
sides	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
hard-coal	O	O	O	O	
burner	O	O	O	O	
were	O	O	O	O	
aglow	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
air	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
study	I-FAC	O	O	O	
was	O	O	O	O	
so	O	O	O	O	
hot	O	O	O	O	
that	O	O	O	O	
as	O	O	O	O	
he	O	O	O	O	
came	O	O	O	O	
in	O	O	O	O	
the	B-PER	O	O	O	
doctor	I-PER	O	O	O	
opened	O	O	O	O	
the	O	O	O	O	
door	O	O	O	O	
into	O	O	O	O	
his	B-FAC	O	O	O	
little	I-FAC	O	O	O	
operating-room	I-FAC	O	O	O	
,	O	O	O	O	
where	O	O	O	O	
there	O	O	O	O	
was	O	O	O	O	
no	O	O	O	O	
stove	O	O	O	O	
.	O	O	O	O	

The	B-FAC	O	O	O	
waiting	I-FAC	O	O	O	
room	I-FAC	O	O	O	
was	O	O	O	O	
carpeted	O	O	O	O	
and	O	O	O	O	
stiffly	O	O	O	O	
furnished	O	O	O	O	
,	O	O	O	O	
something	O	O	O	O	
like	O	O	O	O	
a	B-FAC	O	O	O	
country	I-FAC	O	O	O	
parlor	I-FAC	O	O	O	
.	O	O	O	O	

The	B-FAC	O	O	O	
study	I-FAC	O	O	O	
had	O	O	O	O	
worn	O	O	O	O	
,	O	O	O	O	
unpainted	O	O	O	O	
floors	O	O	O	O	
,	O	O	O	O	
but	O	O	O	O	
there	O	O	O	O	
was	O	O	O	O	
a	O	O	O	O	
look	O	O	O	O	
of	O	O	O	O	
winter	O	O	O	O	
comfort	O	O	O	O	
about	O	O	O	O	
it	O	O	O	O	
.	O	O	O	O	

The	B-PER	O	O	O	
doctor	I-PER	O	O	O	
's	O	O	O	O	
flat-top	O	O	O	O	
desk	O	O	O	O	
was	O	O	O	O	
large	O	O	O	O	
and	O	O	O	O	
well	O	O	O	O	
made	O	O	O	O	
;	O	O	O	O	
the	O	O	O	O	
papers	O	O	O	O	
were	O	O	O	O	
in	O	O	O	O	
orderly	O	O	O	O	
piles	O	O	O	O	
,	O	O	O	O	
under	O	O	O	O	
glass	O	O	O	O	
weights	O	O	O	O	
.	O	O	O	O	

Behind	O	O	O	O	
the	O	O	O	O	
stove	O	O	O	O	
a	O	O	O	O	
wide	O	O	O	O	
bookcase	O	O	O	O	
,	O	O	O	O	
with	O	O	O	O	
double	O	O	O	O	
glass	O	O	O	O	
doors	O	O	O	O	
,	O	O	O	O	
reached	O	O	O	O	
from	O	O	O	O	
the	O	O	O	O	
floor	O	O	O	O	
to	O	O	O	O	
the	O	O	O	O	
ceiling	O	O	O	O	
.	O	O	O	O	

It	O	O	O	O	
was	O	O	O	O	
filled	O	O	O	O	
with	O	O	O	O	
medical	O	O	O	O	
books	O	O	O	O	
of	O	O	O	O	
every	O	O	O	O	
thickness	O	O	O	O	
and	O	O	O	O	
color	O	O	O	O	
.	O	O	O	O	

On	O	O	O	O	
the	O	O	O	O	
top	O	O	O	O	
shelf	O	O	O	O	
stood	O	O	O	O	
a	O	O	O	O	
long	O	O	O	O	
row	O	O	O	O	
of	O	O	O	O	
thirty	O	O	O	O	
or	O	O	O	O	
forty	O	O	O	O	
volumes	O	O	O	O	
,	O	O	O	O	
bound	O	O	O	O	
all	O	O	O	O	
alike	O	O	O	O	
in	O	O	O	O	
dark	O	O	O	O	
mottled	O	O	O	O	
board	O	O	O	O	
covers	O	O	O	O	
,	O	O	O	O	
with	O	O	O	O	
imitation	O	O	O	O	
leather	O	O	O	O	
backs	O	O	O	O	
.	O	O	O	O	

As	O	O	O	O	
the	O	O	B-PER	O	
doctor	O	O	I-PER	O	
in	O	O	I-PER	O	
New	B-LOC	B-GPE	I-PER	O	
England	I-LOC	I-GPE	I-PER	O	
villages	O	I-GPE	I-PER	O	
is	O	O	O	O	
proverbially	O	O	O	O	
old	O	O	O	O	
,	O	O	O	O	
so	O	O	O	O	
the	O	O	B-PER	O	
doctor	O	O	I-PER	O	
in	O	O	I-PER	O	
small	O	B-GPE	I-PER	O	
Colorado	B-GPE	I-GPE	I-PER	O	
towns	O	I-GPE	I-PER	O	
twenty-five	O	O	O	O	
years	O	O	O	O	
ago	O	O	O	O	
was	O	O	O	O	
generally	O	O	O	O	
young	O	O	O	O	
.	O	O	O	O	

Dr.	B-PER	B-PER	O	O	
Archie	O	I-PER	O	O	
was	O	O	O	O	
barely	O	O	O	O	
thirty	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
was	O	O	O	O	
tall	O	O	O	O	
,	O	O	O	O	
with	O	O	O	O	
massive	O	O	O	O	
shoulders	O	O	O	O	
which	O	O	O	O	
he	O	O	O	O	
held	O	O	O	O	
stiffly	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
large	O	O	O	O	
,	O	O	O	O	
well-shaped	O	O	O	O	
head	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
was	O	O	O	O	
a	B-PER	O	O	O	
distinguished-looking	I-PER	O	O	O	
man	I-PER	O	O	O	
,	O	O	O	O	
for	O	O	O	O	
that	O	B-LOC	O	O	
part	O	I-LOC	O	O	
of	O	I-LOC	O	O	
the	B-LOC	I-LOC	O	O	
world	I-LOC	I-LOC	O	O	
,	O	O	O	O	
at	O	O	O	O	
least	O	O	O	O	
.	O	O	O	O	

There	O	O	O	O	
was	O	O	O	O	
something	O	O	O	O	
individual	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
way	O	O	O	O	
in	O	O	O	O	
which	O	O	O	O	
his	O	O	O	O	
