PART	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

A	O	O	O	O	
VOYAGE	O	O	O	O	
TO	O	O	O	O	
LILLIPUT	B-GPE	O	O	O	
.	O	O	O	O	

CHAPTER	O	O	O	O	
I	O	O	O	O	
.	O	O	O	O	

The	B-PER	O	O	O	
author	I-PER	O	O	O	
gives	O	O	O	O	
some	O	O	O	O	
account	O	O	O	O	
of	O	O	O	O	
himself	O	O	O	O	
and	O	O	O	O	
family	B-PER	O	O	O	
.	O	O	O	O	

His	O	O	O	O	
first	O	O	O	O	
inducements	O	O	O	O	
to	O	O	O	O	
travel	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
is	O	O	O	O	
shipwrecked	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
swims	O	O	O	O	
for	O	O	O	O	
his	O	O	O	O	
life	O	O	O	O	
.	O	O	O	O	

Gets	O	O	O	O	
safe	O	O	O	O	
on	O	O	O	O	
shore	B-LOC	O	O	O	
in	O	O	O	O	
the	B-GPE	O	O	O	
country	I-GPE	O	O	O	
of	I-GPE	O	O	O	
Lilliput	I-GPE	O	O	O	
;	O	O	O	O	
is	O	O	O	O	
made	O	O	O	O	
a	B-PER	O	O	O	
prisoner	I-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
carried	O	O	O	O	
up	O	O	O	O	
the	B-GPE	O	O	O	
country	I-GPE	O	O	O	
.	O	O	O	O	

My	B-PER	O	O	O	
father	I-PER	O	O	O	
had	O	O	O	O	
a	O	B-FAC	O	O	
small	O	I-FAC	O	O	
estate	O	I-FAC	O	O	
in	O	I-FAC	O	O	
Nottinghamshire	B-GPE	I-FAC	O	O	
:	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
the	O	B-PER	O	O	
third	O	I-PER	O	O	
of	O	I-PER	O	O	
five	B-PER	I-PER	O	O	
sons	I-PER	I-PER	O	O	
.	O	O	O	O	

He	O	O	O	O	
sent	O	O	O	O	
me	O	O	O	O	
to	O	O	O	O	
Emanuel	B-FAC	O	O	O	
College	I-FAC	O	O	O	
in	O	O	O	O	
Cambridge	B-GPE	O	O	O	
at	O	O	O	O	
fourteen	O	O	O	O	
years	O	O	O	O	
old	O	O	O	O	
,	O	O	O	O	
where	O	O	O	O	
I	O	O	O	O	
resided	O	O	O	O	
three	O	O	O	O	
years	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
applied	O	O	O	O	
myself	O	O	O	O	
close	O	O	O	O	
to	O	O	O	O	
my	O	O	O	O	
studies	O	O	O	O	
;	O	O	O	O	
but	O	O	O	O	
the	O	O	O	O	
charge	O	O	O	O	
of	O	O	O	O	
maintaining	O	O	O	O	
me	O	O	O	O	
,	O	O	O	O	
although	O	O	O	O	
I	O	O	O	O	
had	O	O	O	O	
a	O	O	O	O	
very	O	O	O	O	
scanty	O	O	O	O	
allowance	O	O	O	O	
,	O	O	O	O	
being	O	O	O	O	
too	O	O	O	O	
great	O	O	O	O	
for	O	O	O	O	
a	O	O	O	O	
narrow	O	O	O	O	
fortune	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
bound	O	O	O	O	
apprentice	O	O	O	O	
to	O	O	O	O	
Mr.	B-PER	B-PER	O	O	
James	O	I-PER	O	O	
Bates	O	I-PER	O	O	
,	O	O	O	O	
an	O	B-PER	O	O	
eminent	O	I-PER	O	O	
surgeon	O	I-PER	O	O	
in	O	I-PER	O	O	
London	B-GPE	I-PER	O	O	
,	O	O	O	O	
with	O	O	O	O	
whom	O	O	O	O	
I	O	O	O	O	
continued	O	O	O	O	
four	O	O	O	O	
years	O	O	O	O	
.	O	O	O	O	

My	B-PER	O	O	O	
father	I-PER	O	O	O	
now	O	O	O	O	
and	O	O	O	O	
then	O	O	O	O	
sending	O	O	O	O	
me	O	O	O	O	
small	O	O	O	O	
sums	O	O	O	O	
of	O	O	O	O	
money	O	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
laid	O	O	O	O	
them	O	O	O	O	
out	O	O	O	O	
in	O	O	O	O	
learning	O	O	O	O	
navigation	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
other	O	O	O	O	
parts	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
mathematics	O	O	O	O	
,	O	O	O	O	
useful	O	O	O	O	
to	O	O	O	O	
those	O	O	O	O	
who	O	O	O	O	
intend	O	O	O	O	
to	O	O	O	O	
travel	O	O	O	O	
,	O	O	O	O	
as	O	O	O	O	
I	O	O	O	O	
always	O	O	O	O	
believed	O	O	O	O	
it	O	O	O	O	
would	O	O	O	O	
be	O	O	O	O	
,	O	O	O	O	
some	O	O	O	O	
time	O	O	O	O	
or	O	O	O	O	
other	O	O	O	O	
,	O	O	O	O	
my	O	O	O	O	
fortune	O	O	O	O	
to	O	O	O	O	
do	O	O	O	O	
.	O	O	O	O	

When	O	O	O	O	
I	O	O	O	O	
left	O	O	O	O	
Mr.	B-PER	B-PER	O	O	
Bates	O	I-PER	O	O	
,	O	O	O	O	
I	O	O	O	O	
went	O	O	O	O	
down	O	O	O	O	
to	O	O	O	O	
my	B-PER	O	O	O	
father	I-PER	O	O	O	
:	O	O	O	O	
where	O	O	O	O	
,	O	O	O	O	
by	O	O	O	O	
the	O	O	O	O	
assistance	O	O	O	O	
of	O	O	O	O	
him	O	O	O	O	
and	O	O	O	O	
my	B-PER	O	O	O	
uncle	I-PER	O	O	O	
John	B-PER	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
some	B-PER	O	O	O	
other	I-PER	O	O	O	
relations	I-PER	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
got	O	O	O	O	
forty	O	O	O	O	
pounds	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
promise	O	O	O	O	
of	O	O	O	O	
thirty	O	O	O	O	
pounds	O	O	O	O	
a	O	O	O	O	
year	O	O	O	O	
to	O	O	O	O	
maintain	O	O	O	O	
me	O	O	O	O	
at	O	O	O	O	
Leyden	B-GPE	O	O	O	
:	O	O	O	O	
there	B-GPE	O	O	O	
I	O	O	O	O	
studied	O	O	O	O	
physic	O	O	O	O	
two	O	O	O	O	
years	O	O	O	O	
and	O	O	O	O	
seven	O	O	O	O	
months	O	O	O	O	
,	O	O	O	O	
knowing	O	O	O	O	
it	O	O	O	O	
would	O	O	O	O	
be	O	O	O	O	
useful	O	O	O	O	
in	O	O	O	O	
long	O	O	O	O	
voyages	O	O	O	O	
.	O	O	O	O	

Soon	O	O	O	O	
after	O	O	O	O	
my	O	O	O	O	
return	O	O	O	O	
from	O	O	O	O	
Leyden	B-GPE	O	O	O	
,	O	O	O	O	
I	O	O	O	O	
was	O	O	O	O	
recommended	O	O	O	O	
by	O	O	O	O	
my	B-PER	O	O	O	
good	I-PER	O	O	O	
master	I-PER	O	O	O	
,	O	O	O	O	
Mr.	B-PER	B-PER	O	O	
Bates	O	I-PER	O	O	
,	O	O	O	O	
to	O	O	O	O	
be	O	O	O	O	
surgeon	O	B-PER	O	O	
to	O	I-PER	O	O	
the	B-PER	I-PER	O	O	
Swallow	I-PER	I-PER	O	O	
,	O	O	O	O	
Captain	B-PER	B-PER	O	O	
Abraham	O	I-PER	O	O	
Pannel	O	I-PER	O	O	
,	O	O	O	O	
commander	B-PER	O	O	O	
;	O	O	O	O	
with	O	O	O	O	
whom	O	O	O	O	
I	O	O	O	O	
continued	O	O	O	O	
three	O	O	O	O	
years	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
half	O	O	O	O	
,	O	O	O	O	
making	O	O	O	O	
a	O	O	O	O	
voyage	O	O	O	O	
or	O	O	O	O	
two	O	O	O	O	
into	O	O	O	O	
