Chapter	O	O	O	O	O	
I.	O	O	O	O	O	
Into	O	O	O	O	O	
the	O	O	O	O	O	
Primitive	O	O	O	O	O	
“	O	O	O	O	O	
Old	O	O	O	O	O	
longings	O	O	O	O	O	
nomadic	O	O	O	O	O	
leap	O	O	O	O	O	
,	O	O	O	O	O	
Chafing	O	O	O	O	O	
at	O	O	O	O	O	
custom	O	O	O	O	O	
's	O	O	O	O	O	
chain	O	O	O	O	O	
;	O	O	O	O	O	
Again	O	O	O	O	O	
from	O	O	O	O	O	
its	O	O	O	O	O	
brumal	O	O	O	O	O	
sleep	O	O	O	O	O	
Wakens	O	O	O	O	O	
the	O	O	O	O	O	
ferine	O	O	O	O	O	
strain	O	O	O	O	O	
.	O	O	O	O	O	
”	O	O	O	O	O	

Buck	B-PER	O	O	O	O	
did	O	O	O	O	O	
not	O	O	O	O	O	
read	O	O	O	O	O	
the	O	O	O	O	O	
newspapers	O	O	O	O	O	
,	O	O	O	O	O	
or	O	O	O	O	O	
he	O	O	O	O	O	
would	O	O	O	O	O	
have	O	O	O	O	O	
known	O	O	O	O	O	
that	O	O	O	O	O	
trouble	O	O	O	O	O	
was	O	O	O	O	O	
brewing	O	O	O	O	O	
,	O	O	O	O	O	
not	O	O	O	O	O	
alone	O	O	O	O	O	
for	O	O	O	O	O	
himself	O	O	O	O	O	
,	O	O	O	O	O	
but	O	O	O	O	O	
for	O	O	O	O	O	
every	O	B-PER	O	O	O	
tide-water	O	I-PER	O	O	O	
dog	O	I-PER	O	O	O	
,	O	I-PER	O	O	O	
strong	O	I-PER	O	O	O	
of	O	I-PER	O	O	O	
muscle	O	I-PER	O	O	O	
and	O	I-PER	O	O	O	
with	O	I-PER	O	O	O	
warm	O	I-PER	O	O	O	
,	O	I-PER	O	O	O	
long	O	I-PER	O	O	O	
hair	O	I-PER	O	O	O	
,	O	I-PER	O	O	O	
from	O	I-PER	O	O	O	
Puget	B-LOC	I-PER	O	O	O	
Sound	I-LOC	I-PER	O	O	O	
to	O	I-PER	O	O	O	
San	B-GPE	I-PER	O	O	O	
Diego	I-GPE	I-PER	O	O	O	
.	O	O	O	O	O	

Because	O	O	O	O	O	
men	B-PER	O	O	O	O	
,	O	O	O	O	O	
groping	O	O	O	O	O	
in	O	O	O	O	O	
the	B-LOC	O	O	O	O	
Arctic	I-LOC	O	O	O	O	
darkness	O	O	O	O	O	
,	O	O	O	O	O	
had	O	O	O	O	O	
found	O	O	O	O	O	
a	O	O	O	O	O	
yellow	O	O	O	O	O	
metal	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
because	O	O	O	O	O	
steamship	O	O	O	O	O	
and	O	O	O	O	O	
transportation	O	O	O	O	O	
companies	O	O	O	O	O	
were	O	O	O	O	O	
booming	O	O	O	O	O	
the	O	O	O	O	O	
find	O	O	O	O	O	
,	O	O	O	O	O	
thousands	B-PER	O	O	O	O	
of	I-PER	O	O	O	O	
men	I-PER	O	O	O	O	
were	O	O	O	O	O	
rushing	O	O	O	O	O	
into	O	O	O	O	O	
the	B-LOC	O	O	O	O	
Northland	I-LOC	O	O	O	O	
.	O	O	O	O	O	

These	B-PER	O	O	O	O	
men	I-PER	O	O	O	O	
wanted	O	O	O	O	O	
dogs	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
the	O	O	O	O	O	
dogs	O	O	O	O	O	
they	O	O	O	O	O	
wanted	O	O	O	O	O	
were	O	O	O	O	O	
heavy	O	O	O	O	O	
dogs	O	O	O	O	O	
,	O	O	O	O	O	
with	O	O	O	O	O	
strong	O	O	O	O	O	
muscles	O	O	O	O	O	
by	O	O	O	O	O	
which	O	O	O	O	O	
to	O	O	O	O	O	
toil	O	O	O	O	O	
,	O	O	O	O	O	
and	O	O	O	O	O	
furry	O	O	O	O	O	
coats	O	O	O	O	O	
to	O	O	O	O	O	
protect	O	O	O	O	O	
them	O	O	O	O	O	
from	O	O	O	O	O	
the	O	O	O	O	O	
frost	O	O	O	O	O	
.	O	O	O	O	O	

Buck	B-PER	O	O	O	O	
lived	O	O	O	O	O	
at	O	O	O	O	O	
a	B-FAC	O	O	O	O	
big	I-FAC	O	O	O	O	
house	I-FAC	O	O	O	O	
in	O	O	O	O	O	
the	B-LOC	O	O	O	O	
sun-kissed	I-LOC	O	O	O	O	
Santa	I-LOC	O	O	O	O	
Clara	I-LOC	O	O	O	O	
Valley	I-LOC	O	O	O	O	
.	O	O	O	O	O	

Judge	B-PER	B-PER	B-FAC	O	O	
Miller	O	I-PER	I-FAC	O	O	
's	O	O	I-FAC	O	O	
place	O	O	I-FAC	O	O	
,	O	O	O	O	O	
it	O	O	O	O	O	
was	O	O	O	O	O	
called	O	O	O	O	O	
.	O	O	O	O	O	

It	O	O	O	O	O	
stood	O	O	O	O	O	
back	O	O	O	O	O	
from	O	O	O	O	O	
the	B-FAC	O	O	O	O	
road	I-FAC	O	O	O	O	
,	O	O	O	O	O	
half	O	O	O	O	O	
hidden	O	O	O	O	O	
among	O	O	O	O	O	
the	O	O	O	O	O	
trees	O	O	O	O	O	
,	O	O	O	O	O	
through	O	O	O	O	O	
which	O	O	O	O	O	
glimpses	O	O	O	O	O	
could	O	O	O	O	O	
be	O	O	O	O	O	
caught	O	O	O	O	O	
of	O	O	O	O	O	
the	B-FAC	O	O	O	O	
wide	I-FAC	O	O	O	O	
cool	I-FAC	O	O	O	O	
veranda	I-FAC	O	O	O	O	
that	O	O	O	O	O	
ran	O	O	O	O	O	
around	O	O	O	O	O	
its	O	O	O	O	O	
four	O	O	O	O	O	
sides	O	O	O	O	O	
.	O	O	O	O	O	

The	B-FAC	O	O	O	O	
house	I-FAC	O	O	O	O	
was	O	O	O	O	O	
approached	O	O	O	O	O	
by	O	O	O	O	O	
gravelled	O	O	O	O	O	
driveways	B-FAC	O	O	O	O	
which	O	O	O	O	O	
wound	O	O	O	O	O	
about	O	O	O	O	O	
through	O	O	O	O	O	
wide-spreading	O	O	O	O	O	
lawns	O	O	O	O	O	
and	O	O	O	O	O	
under	O	O	O	O	O	
the	O	O	O	O	O	
interlacing	O	O	O	O	O	
boughs	O	O	O	O	O	
of	O	O	O	O	O	
tall	O	O	O	O	O	
poplars	O	O	O	O	O	
.	O	O	O	O	O	

At	O	O	O	O	O	
the	O	O	O	O	O	
rear	O	O	O	O	O	
things	O	O	O	O	O	
were	O	O	O	O	O	
on	O	O	O	O	O	
even	O	O	O	O	O	
a	O	O	O	O	O	
more	O	O	O	O	O	
spacious	O	O	O	O	O	
scale	O	O	O	O	O	
than	O	O	O	O	O	
at	O	O	O	O	O	
the	O	O	O	O	O	
front	O	O	O	O	O	
.	O	O	O	O	O	

There	O	O	O	O	O	
were	O	O	O	O	O	
great	O	O	O	O	O	
stables	B-FAC	O	O	O	O	
,	O	O	O	O	O	
where	O	O	O	O	O	
a	B-PER	O	O	O	O	
dozen	I-PER	O	O	O	O	
grooms	I-PER	O	O	O	O	
and	O	O	O	O	O	
boys	B-PER	O	O	O	O	
